"is_apartment","is_house","less_than_10_years_old","more_than_20_years_old","between_10_and_20_years_old","garages","administration_price","baths","lat","lng","price","price_m2","rooms","total_area_m2"
1,0,1,0,0,1,290000,2,4.637638568878174,-74.12531280517578,500000000,5376344.0,3,93.0
1,0,0,1,0,0,174400,2,4.632434844970703,-74.07588958740234,320000000,5614035.0,1,57.0
1,0,0,0,1,2,465000,3,4.727375030517578,-74.04281616210938,549000000,5967391.0,3,92.0
1,0,0,1,0,2,218000,2,4.739984035491943,-74.03569793701172,265000000,5096153.0,3,52.0
1,0,0,0,1,1,170000,2,4.659074306488037,-74.1319351196289,350000000,5147058.0,3,68.0
1,0,0,1,0,2,240000,2,4.760237693786621,-74.0489273071289,370000000,4933333.0,3,75.0
1,0,1,0,0,1,240000,2,4.636309623718262,-74.12245178222656,410000000,5125000.0,3,80.0
1,0,0,1,0,1,185000,3,4.666415214538574,-74.13602447509766,245000000,3828125.0,3,64.0
1,0,0,1,0,1,220000,2,4.699917793273926,-74.05945587158203,300000000,4285714.0,2,70.0
1,0,1,0,0,1,370000,3,4.657742023468018,-74.12797546386719,520000000,5360824.0,3,97.0
1,0,0,1,0,1,256000,2,4.674745082855225,-74.06452941894531,350000000,3301886.0,4,106.0
1,0,0,1,0,1,317000,2,4.650631904602051,-74.06842803955078,315000000,5526315.0,2,57.0
1,0,1,0,0,2,266200,2,4.719898223876953,-74.03485107421875,360000000,6428571.0,2,56.0
1,0,0,1,0,1,250000,2,4.673953056335449,-74.08699035644531,230000000,4600000.0,2,50.0
0,1,0,1,0,2,265000,4,4.690793991088867,-74.07341766357422,730000000,4397590.0,4,166.0
1,0,0,0,1,1,209000,2,4.742700576782227,-74.05441284179688,320000000,4923076.0,3,65.0
1,0,0,1,0,2,421800,2,4.73199987411499,-74.03900146484375,480000000,4615384.0,3,104.0
1,0,1,0,0,2,486000,4,4.741000175476074,-74.06900024414062,845000000,6869918.0,3,123.0
1,0,0,1,0,1,290000,2,4.7177205085754395,-74.02992248535156,295000000,5566037.0,2,53.0
1,0,1,0,0,1,230000,2,4.682001113891602,-74.10039520263672,413500000,5301282.0,3,78.0
1,0,0,1,0,1,310000,2,4.721912384033203,-74.03124237060547,400000000,5555555.0,2,72.0
1,0,0,0,1,2,350000,2,4.73948335647583,-74.06407165527344,440000000,4731182.0,4,93.0
0,1,0,1,0,2,495000,4,4.72376012802124,-74.04110717773438,770000000,4812500.0,3,160.0
1,0,0,0,1,2,951000,4,4.675722122192383,-74.07097625732422,1600000000,6250000.0,4,256.0
1,0,0,0,1,1,370000,2,4.720736503601074,-74.03327178955078,390000000,5342465.0,3,73.0
1,0,1,0,0,2,350000,2,4.736062049865723,-74.06428527832031,440000000,4731182.0,4,93.0
1,0,0,1,0,1,290000,1,4.718178749084473,-74.03636169433594,220000000,5000000.0,1,44.0
1,0,0,1,0,0,195000,2,4.664313316345215,-74.13157653808594,230000000,4035087.0,3,57.0
0,1,0,1,0,2,374000,3,4.735452175140381,-74.03364562988281,580000000,3815789.0,3,152.0
1,0,0,1,0,1,250000,2,4.753181457519531,-74.0672836303711,358000000,4773333.0,3,75.0
1,0,0,1,0,1,335000,2,4.627802848815918,-74.0654525756836,264000000,5617021.0,2,47.0
1,0,0,1,0,2,308000,2,4.725290298461914,-74.03787231445312,420000000,4158415.0,3,101.0
1,0,0,0,1,1,190000,2,4.740363121032715,-74.06034851074219,292000000,4634920.0,3,63.0
1,0,0,1,0,0,120000,1,4.7358598709106445,-74.0577163696289,240000000,4000000.0,3,60.0
1,0,1,0,0,2,371000,2,4.7230000495910645,-74.04000091552734,470000000,6103896.0,2,77.0
1,0,1,0,0,1,268000,1,4.63205623626709,-74.06183624267578,285000000,8142857.0,1,35.0
1,0,0,0,1,1,351000,2,4.6299309730529785,-74.09435272216797,430000000,5375000.0,3,80.0
1,0,0,0,1,2,535000,3,4.723896503448486,-74.04012298583984,650000000,5000000.0,3,130.0
0,1,0,1,0,2,100000,3,4.674380779266357,-74.0866928100586,600000000,3159557.0,3,189.9
1,0,1,0,0,1,169000,3,4.648919105529785,-74.15007781982422,390000000,4431818.0,3,88.0
1,0,0,0,1,1,198000,2,4.743192195892334,-74.06123352050781,255000000,4636363.0,2,55.0
1,0,1,0,0,1,209000,2,4.658954620361328,-74.12242889404297,590000000,6082474.0,3,97.0
0,1,0,0,1,1,294000,3,4.7694926261901855,-74.04029083251953,380000000,3653846.0,3,104.0
1,0,0,0,1,2,250000,2,4.69638729095459,-74.08368682861328,425000000,5902777.0,3,72.0
1,0,0,1,0,1,330000,2,4.733280181884766,-74.05303192138672,330000000,5000000.0,3,66.0
1,0,1,0,0,2,240000,2,4.743759632110596,-74.06167602539062,338000000,4567567.0,3,74.0
1,0,0,0,1,1,254200,2,4.695554256439209,-74.08287811279297,490000000,5505617.0,3,89.0
1,0,0,1,0,1,120000,3,4.638236045837402,-74.07796478271484,510000000,4250000.0,4,120.0
1,0,0,1,0,2,500000,3,4.731595993041992,-74.07427978515625,585000000,5131578.0,3,114.0
1,0,1,0,0,1,270000,2,4.725872039794922,-74.0330810546875,420000000,6086956.0,2,69.0
1,0,0,1,0,0,640000,3,4.725345134735107,-74.03714752197266,800000000,5882352.0,3,136.0
1,0,1,0,0,1,255000,2,4.739078521728516,-74.05760192871094,400000000,6060606.0,2,66.0
0,1,1,0,0,2,385000,4,4.735448360443115,-74.06356048583984,650000000,3631284.0,5,179.0
1,0,0,0,1,1,211000,2,4.7513532638549805,-74.06763458251953,335000000,4527027.0,3,74.0
1,0,0,1,0,2,339000,5,4.723259925842285,-74.0341796875,530000000,3419354.0,5,155.0
1,0,0,1,0,1,69000,1,4.728658676147461,-74.0294418334961,220000000,5238095.0,2,42.0
1,0,0,1,0,2,238000,3,4.768284797668457,-74.0467529296875,350000000,3684210.0,2,95.0
1,0,1,0,0,1,256000,2,4.741129398345947,-74.07001495361328,410000000,6029411.0,2,68.0
0,1,0,1,0,2,497000,4,4.731488003000038,-74.0375395879999,650000000,3869047.0,4,168.0
1,0,0,1,0,0,180000,1,4.646450042724609,-74.08380889892578,259900000,4903773.0,1,53.0
1,0,1,0,0,2,348000,2,4.647582054138184,-74.08240509033203,478000000,6459459.0,2,74.0
1,0,1,0,0,1,271000,2,4.743530750274658,-74.0298080444336,420000000,5250000.0,2,80.0
1,0,1,0,0,1,275000,2,4.682514190673828,-74.09876251220703,330000000,5076923.0,3,65.0
1,0,1,0,0,2,320000,2,4.687871932983398,-74.09491729736328,488000000,5191489.0,3,94.0
1,0,0,1,0,1,235000,2,4.655940532684326,-74.11080932617188,475000000,6785714.0,3,70.0
1,0,0,1,0,2,421000,2,4.732790470123291,-74.04383087158203,540000000,5684210.0,3,95.0
1,0,0,1,0,1,266000,2,4.731391906738281,-74.03528594970703,280000000,3463203.0,3,80.85
1,0,1,0,0,1,200000,2,4.7233052253723145,-74.1346206665039,317000000,4731343.0,2,67.0
1,0,1,0,0,1,252000,2,4.643840789794922,-74.11027526855469,549000000,7956521.0,2,69.0
1,0,0,1,0,2,400000,2,4.731606483459473,-74.03792572021484,480000000,4571428.0,3,105.0
1,0,0,1,0,1,323000,2,4.725249767303467,-74.03889465332031,320000000,5333333.0,2,60.0
1,0,0,0,1,1,325000,2,4.724937438964844,-74.04689025878906,470000000,5731707.0,3,82.0
1,0,1,0,0,1,270000,2,4.728486061096191,-74.04000091552734,390000000,5416666.0,2,72.0
1,0,0,0,1,1,288000,1,4.649662971496582,-74.05973815917969,330000000,6903765.0,1,47.8
